platform,item,suggestions
Amazon_UK,basketball hoop,"['basketball hoop for trampoline', 'basketball hoop for kids', 'basketball hoop for toddlers 1-3', 'basketball hoop for pool', 'basketball hoop for door', 'basketball hoop for kids ages 4-8', 'basketball hoop for toddlers', 'basketball hoop for room', 'basketball hoop for trampoline fits all', 'basketball hoop for pool inground']"
Amazon_UK,gears,"['gears for crafts', 'gears for crafting', 'gears for kids', 'gears for nail art', 'gears for projects', 'gears for toddlers', 'gears for bike', 'gears for rc cars', 'magnetic gears for kids for fridge', 'gears for art']"
Amazon_UK,train set,"['train set for toddlers 1-3', 'train set for toddlers 3-5', 'train set for toddlers', 'train set for kids', 'train set for adults', 'train set for girls', 'train set for toddlers 2-4', 'train set for one year old', 'train set for 3 year old', 'train set for 6 year old boy']"
Amazon_UK,lincoln logs,"['lincoln logs for boys age 4-7', 'lincoln logs for boys age 8-12', 'lincoln logs for toddlers 1-3', 'lincoln logs for toddlers 3-4', 'lincoln logs for girls', 'lincoln logs for girls age 4-7', 'lincoln logs for adults', 'lincoln logs for boys age 8-12 big set', 'lincoln logs for boys age 2-5', 'lincoln logs for toddlers 4-7']"
Amazon_UK,police station toy,[]
Amazon_UK,airport toy,"['airport toy', 'airport toy for kids', 'airport toys', 'airport toy set', 'airpods toy for kids', 'airpods toy for baby']"
Amazon_UK,police officer gear,"['police officer gear for kids', 'police officer gear for men', 'police officer gear', 'police duty gear', 'police gear']"
Amazon_UK,dragonballz,[]
Amazon_UK,superhero costumes,"['superhero costumes for girls', 'superhero costumes for boys', 'superhero costumes for women', 'superhero costumes for men', 'superhero costumes for boys 4t', 'superhero costumes for kids', 'superhero costumes for girls 5t', 'superhero costumes for toddlers', 'superhero costumes for adults', 'superhero costumes for boys 2t']"
Amazon_UK,helicopter,"['helicopter for kids', 'rc helicopter for adults', 'helicopter for boys', 'helicopter for adults', 'toy helicopter for boys age 4-7', 'helicopter for girls', 'helicopter for car dashboard', 'helicopter for toddlers 1-3', 'helicopter for action figures', 'helicopter for toddlers']"
Amazon_UK,racetrack,"['racetrack for kids', 'racetrack for toddler boys', 'racetrack for girls', 'racetrack for boys 8-12', 'racetrack for boys', 'racetrack for matchbox cars', 'racetrack for toddlers 1-3', 'racetrack for adults', 'racetrack for 2 year old', 'racetrack for kids hotwheels']"
Amazon_UK,remote control car,"['remote control car for toddlers', 'remote control car for boys 4-7', 'remote control car for boys 8-12', 'remote control car for girls', 'remote control car for boys 3-5', 'remote control car for adults', 'remote control car for kids', 'remote control car for toddlers to ride in', 'remote control car for toddlers 1-3', 'remote control car for dogs to chase']"
Amazon_UK,football,"['football for kids 8-12', 'football for pool', 'football for kids', 'football for kids 5-7', 'football for toddlers 1-3', 'football for beach', 'football for dogs', 'football for dummies', 'football for kids 3-5', 'football for water']"
Amazon_UK,hockey stick,"['hockey stick for toddlers 1-3', 'hockey stick for kids 4-8', 'hockey stick for kids', 'hockey stick for kids 3-5', 'hockey stick for kids 8-12', 'hockey stick for 5 year old', 'hockey stick for toddler', 'hockey stick for youth', 'hockey stick for 6 year old', 'hockey stick for 7 year old']"
Amazon_UK,sword toy,"['sword toy for kids', 'sword toy for dogs', 'fortnite sword toy', 'toy sword from fortnite', 'infinity blade fortnite sword toy', 'nerf vantage n-force toy sword', 'wild force sword. toy', 'jvmusaber lightsaber-toy fx-saber dueling-force rgb-sword']"
Amazon_UK,miniature guns,"['miniature guns for figures', 'miniature guns for action figures', 'miniature guns for crafts', 'miniature guns for dollhouse', 'miniature gun models', 'miniature guns', 'miniature gun']"
Amazon_UK,truck set,"['truck set for toddlers 1-3', 'truck set for 1 year old', 'truck set for boys', 'truck set for 3 year old boys', 'truck set for toddlers', 'truck set for 5 year old', 'truck set for kids', 'truck set for 4 year old boy', 'truck set for baby boy', 'truck set for sand']"
Amazon_UK,remote control helicopter,"['remote control helicopter for boys 4-7', 'remote control helicopter for boys 8-12', 'remote control helicopter for adults', 'remote control helicopter for kids', 'remote control helicopter for adults outdoor', 'remote control helicopter for 4 year old', 'remote control helicopter for beginners', 'remote control helicopter for toddlers', 'remote control helicopter for boys', 'remote control helicopter for 5 year old']"
Amazon_UK,sully costume,"['sully costume for adults', 'sully costume for dogs', 'sully costume for men', 'sully costume for kids', 'sully costume for toddler', 'sully costume for girls']"
Amazon_UK,woody valentine,[]
Amazon_UK,spiderman costume,"['spiderman costume for boys 4-6', 'spiderman costume for kids', 'spiderman costume for women', 'spiderman costume for boys 7-8', 'spiderman costume for adults', 'spiderman costume for boys', 'spiderman costume for men', 'spiderman costume for toddler', 'spiderman costume for girls', 'spiderman costume for boys 4-6 years']"
Amazon_UK,batman costume,"['batman costume for kids 5t', 'batman costume for kids 4-6', 'batman costume for men', 'batman costume for kids', 'batman costume for dogs', 'batman costume for boys', 'batman costume for women', 'batman costume for cats', 'batman costume for kids 6', 'batman costume for kids 4-6 girls']"
Amazon_UK,ninja costume,"['ninja costume for girls', 'ninja costume for kids', 'ninja costume for boys 10-12', 'ninja costume for boys', 'ninja costume for boys 8-10', 'ninja costume for women', 'ninja costume for men', 'ninja costume for kids 8-10', 'ninja costume for girls 4-6', 'ninja costume for adults']"
Amazon_UK,wwe action figure,"['wwe action figures forklift', 'wwe brock lesnar action figure with forklift', 'montez ford wwe action figure', 'wwe action figures for 10 dollars', 'montez ford wwe action figure elite', 'wwe action figures for cake', 'wwe action figures for kids', 'wwe action figures for cake decor', 'wwe action figures for girls', 'montes ford wwe action figure']"
Amazon_UK,action figure,"['action figure for drawing', 'action figure fortnite', 'action figure for girls', 'action figure for car dashboard', 'action figure for adults', 'action figure for boys', 'action figure for 2 year old boy', 'action figure for toddler boy', 'action figure fort', 'action figure for men']"
Amazon_UK,toy gun,"['toy gun for kids', 'toy gun for toddlers 1-3', 'toy gun for boys', 'toy gun for boys age 8-12', 'toy gun for kids ages 3-5', 'toy gun for girls', 'toy gun for toddler', 'toy gun for toddlers 3-5', 'toy gun for 3 year old boy', 'toy gun for nerf guns automatic machine gun']"
Amazon_UK,construction games,"['construction games for kids', 'construction games for kids 3-5', 'construction games for party', 'construction games for nintendo switch', 'construction games for toddlers', 'construction games for kids party', 'construction games for kids 8-12', 'construction games for xbox one', 'construction games for pc', 'construction games for xbox 360']"
Amazon_UK,war toys,"['war toys for boys', 'war toys for kids', 'war toys for boys 8-12', 'war toys for boys age 4-7', 'war toys for ages 8-13', 'war toys for boys 10-14', 'fortnite ninja toys youtube ninja war thinking']"
Amazon_UK,toy vehicles,"['toy vehicles for toddlers 1-3', 'toy vehicles for kids 3-5', 'toy vehicles for boys age 4-7', 'toy vehicles for kids', 'toy vehicles for kids 10 drive cheaper', 'toy vehicles for toddlers', 'toy vehicles for 1 year old', 'toy vehicles for 2 year old', 'toy vehicles for girls', 'toy vehicles for infants']"
Amazon_UK,educational material,"['educational material for 3 to 4 years old', 'educational material for 2 year old', 'educational material for 3 year old', 'educational material for toddlers']"
Amazon_UK,nerf guns,"['nerf guns for boys 8-12', 'nerf guns for toddlers age 3-5', 'nerf guns fortnite', 'nerf guns for adults', 'nerf guns for girls', 'nerf guns for boys', 'nerf guns for boys 5-7', 'nerf guns for boys 8-12 fortnite', 'nerf guns for kids', 'nerf guns for boys 8-12 automatic']"
Amazon_UK,construction toys,"['construction toys for 3+ year old boys', 'construction toys for 3 year old boys', 'construction toys for kids', 'construction toys for toddlers 1-3', 'construction toys for toddlers', 'cat construction toys for boys', 'construction toys for boys 3-5 year old', 'construction toys for sandbox', 'construction toys for 5+ year old boys', 'construction toys for 5 year old boys']"
Amazon_UK,car toys,"['car toys for toddlers 1-3', 'car toys for babies', 'car toys for boys 3-5 years old', 'car toys for boys age 6-10', 'car toys for babies 6-12 months', 'car toys for toddlers 2-4 years', 'car toys for toddlers', 'car toys for kids', 'car toys for babies 0-6 months', 'car toys for 2 + year old boy']"
Amazon_UK,video games,"['video games for kids ages 4-8', 'video games for kids 8-12', 'video games for ps4', 'video games for kids', 'video games for nintendo switch', 'video games for xbox', 'video games for girls', 'video games for switch', 'video games for kids 8-12 nintendo switch', 'video games for xbox one']"
Amazon_UK,building blocks,"['building blocks for toddlers 1-3', 'building blocks for kids ages 4-8', 'building blocks for adults', 'building blocks for toddlers 3-5', 'building blocks for kids', 'building blocks for toddlers', 'building blocks for kids ages 8-12', 'building blocks for babies', 'building blocks for building better teams', 'building blocks for kids ages 3-5']"
Amazon_UK,dinosaur toys,"['dinosaur toys for kids 3-5', 'dinosaur toys for kids 5-7', 'dinosaur toys for kids 2-4', 'dinosaur toys for kids 8-12', 'dinosaur toys for girls', 'dinosaur toys for kids 1-2 years old', 'dinosaur toys for kids', 'dinosaur toys for toddlers', 'dinosaur toys for kids 3-5 boys', 'dinosaur toys for boys']"
Amazon_UK,lego cars,"['lego cars for boys age 8-12', 'lego cars for adults', 'lego cars for boys age 4-7', 'lego cars for boys age 12-16', 'lego cars for boys age 3-5', 'lego cars for boys', 'lego cars for boys age 8-12 tesla', 'lego cars formula 1', 'lego cars for kids', 'lego cars for adults bugatti']"
Amazon_UK,lego toys,"['lego toys for girls', 'lego toys for boys 8-12', 'lego toys for boys age 8-12', 'lego toys for boys 6-8', 'lego toys for girls 3-5 years old', 'lego toys for boys 4-7', 'lego toys for girls 4-7', 'lego toys for kids', 'lego toys for 9 year old boys', 'lego toys for toddlers 1-3']"
Amazon_UK,computer games,"['computer games for pc', 'computer games for kids', 'computer games for kids 8-12', 'computer games for pc for adults', 'computer games for windows 10', 'computer games for kids ages 3-5', 'computer games for toddlers 3-5', 'computer games for pc cd/dvd', 'computer games for kids pc', 'computer games for learning']"
Amazon_UK,spaceship lego,['spaceship lego for kids 3-5']
Amazon_UK,firefighter gear,"['firefighter gear for kids', 'firefighter gear for kids 10-12', 'firefighter gear for boys', 'firefighter gear for women', 'firefighter gear for men', 'firefighter gear for babies', 'firefighter gear for toddlers', 'forest firefighter gear', 'forestry firefighter gear']"
Amazon_UK,soldier toys,"['soldier toys for boys 4-6', 'soldier toys for boys', 'soldier toys for boys 8-12', 'soldier toys for kids', 'soldier toys for boys 10-12', 'soldier toys for boys 7', 'soldier force toys', 'soldier special forces toys', 'soldier force f35 playset all toys']"
Amazon_UK,space station,"['space station for kids', 'space shuttle', 'space station fort', 'space station', 'space ship', 'space station for astronaut figures']"
Amazon_UK,science project kit,"['science project kit for 2nd graders', 'science project kit for 7 year old', 'science kit', 'science project kits', 'science project kit']"
Amazon_UK,toy rocket,"['toy rocket for kids', 'toy rocket for toddlers 1-3', 'toy rocket for kids 3-5', 'toy rocket for toddler', 'toy rocket for ki', 'toy rocket for 3 year old', 'fortnite toy rocket figurines', 'toy fortnite rocket launcher']"
Amazon_UK,soccer ball,"['soccer ball for kids 4-6', 'soccer ball for kids 8-12', 'soccer ball for dogs', 'soccer ball for toddlers 1-3', 'soccer ball for kids', 'soccer ball for kids age 6-8', 'soccer ball for dogs indestructible', 'soccer ball for toddlers', 'soccer ball for toddlers age 3-5', 'soccer ball for baby']"
Amazon_UK,blue ipad,"['blue ipad for kids', 'ipad blue', 'blue ipad', 'blue screen for ipad', 'ipad case for7,8,9th in blue', 'forito blue light screen protector for ipad', 'ipad 9.7 inch case blue forest fold pen holder', 'forito blue light screen protector ipad pro']"
Amazon_UK,toy robots,"['toy robots for kids 3-5', 'toy robots for boys 8 and up', 'toy robots for girls', 'toy robots for kids 6 to 8', 'toy robots for kids 8-12', 'toy robots for kids', 'toy robots for boys 10 and up', 'toy robots for toddlers', 'toy robots for kids 2-3', 'toy robots for 4 yr old']"
Amazon_UK,toy drones,"['toy drones for kids 6-12', 'toy drones for kids', 'toy drones for kids 8-12', 'toy drones for adults', 'toy drones for kids 6-12 indoor', 'toy drones for kids age 3', 'toy drones for kids 8-12 under 30', 'toy drones for kids 5', 'toy drones for kids 8-12 with camera', 'toy drones for boys']"
Amazon_UK,doll,"['doll for 1 year old girl', 'doll for 1 + year old girl', 'doll for 2 + year old girl', 'doll for 2 year old girl', 'doll for baby', 'doll for 3 year old girl', 'doll for 3 + year old girl', 'doll for boys', 'doll for 4 year old girl', 'doll for 4+ year old girl']"
Amazon_UK,domestic toys,['domestic toys for kids']
Amazon_UK,educational art,"['educational art for toddlers', 'educational art for kids', 'educational art for kids wall']"
Amazon_UK,clothes,"['clothes for women', 'clothes for girls 10-12', 'clothes for men', 'clothes for girls', 'clothes for teen girls', 'clothes for girls size 7-8', 'clothes for boys', 'clothes for teens', 'clothes for kids', 'clothes for dogs']"
Amazon_UK,dollhouses,"['dollhouses for girls 4-6', 'dollhouses for 18 inch dolls', 'dollhouses for kids', 'dollhouses for adults', 'dollhouses for toddlers age 2-4', 'dollhouses for girls', 'dollhouses for boys', 'dollhouses for barbie size dolls', 'dollhouses for girls ages 6-12', 'dollhouses for 2 year olds']"
Amazon_UK,clothing accessories,"['clothing accessories for women', 'clothing accessories for sewing', 'clothing accessories for men', 'clothing accessories for handicapped', 'clothing accessories for dogs', 'clothing accessories for teen girls', 'clothing accessories for bunnies', 'clothing accessories for cats', 'clothing accessories for girls', 'clothing accessories for chicks']"
Amazon_UK,doll accessories,"['doll accessories for 18 inch dolls', 'doll accessories for 2 year old girls', 'doll accessories for 18 inch dolls under 10', 'doll accessories for 1 year old', 'doll accessories for 12 inch dolls', 'doll accessories for 10 inch dolls', 'doll accessories for 12 inch dolls under 10', 'doll accessories for barbie', 'doll accessories for 5 year old girls', 'doll accessories for 20 inch dolls']"
Amazon_UK,furnishing,"['furnishing forward sheila bridges', 'fur for crafts', 'furnishing forward', 'urban furnishing', 'furnishing articles']"
Amazon_UK,ballerina costume,"['ballerina costume for toddler', 'ballerina costume for girls 3-4', 'ballerina costume for girls', 'ballerina costume for women', 'ballerina costume for girls 4-6', 'ballerina costume for adults', 'ballerina costume for girls 7-8', 'ballerina costume for kids', 'ballerina costume for girls 10-12', 'ballerina costume for men']"
Amazon_UK,barbie costume,"['barbie costume for women', 'barbie costume for girls', 'barbie costume for kids', 'barbie costume for girls 7-8', 'barbie costume for adults', 'barbie costume for women sexy', 'barbie costume for girls 10-12', 'barbie costume for baby', 'barbie costume for women dress', 'barbie costume for teen girls']"
Amazon_UK,barbie jeep,"['barbie jeep for kids', 'barbie jeep for kids ages 6-12', 'barbie jeep for barbies', 'barbie jeep for dolls', 'barbie jeep for kids to drive', 'barbie jeep for barbies 4 seats', 'barbie jeep for toddlers', 'barbie jeep for adults', 'barbie jeep for teens', 'barbie jeep for kids 2 seat']"
Amazon_UK,play makeup,"['play makeup for little girls age 2', 'play makeup for little girls age 3', 'play makeup for little girls age 7', 'play makeup for little girls age 4', 'play makeup for little girls age 5', 'play makeup for toddlers 1-3', 'play makeup for little girls age 3 pretend', 'play makeup for little girls', 'play makeup for kids', 'play makeup for little girls age 9']"
Amazon_UK,bratz doll,"['bratz doll', 'bratz doll for cake', 'bratzillaz doll', 'bratz doll accessories', 'bratz forever diamondz doll', 'bratz forever diamondz sasha doll']"
Amazon_UK,jewelry,"['jewelry for women', 'jewelry for men', 'jewelry for girls 8-12', 'jewelry for teen girls', 'jewelry for girls', 'jewelry for kids', 'jewelry for women sets', 'jewelry for girls 4-6', 'jewelry for prom', 'jewelry for teens']"
Amazon_UK,my little pony,"['my little pony for boys', 'my little pony for adults', 'my little pony for 3 year old girl', 'my little pony for girls', 'my little pony for teens', 'my little pony for babies', 'my little pony for girls 4-6', 'my little pony for kids', 'my little pony for 2 year old girl', 'my little pony forks']"
Amazon_UK,tea set,"['tea set for little girls', 'tea set for kids', 'tea set for toddlers 1-3', 'tea set for toddlers 3-5', 'tea set for girls', 'tea set for adults', 'tea set for one', 'tea set for little girls porcelain', 'tea set for toddlers', 'tea set for little girls 7-8']"
Amazon_UK,vanity set,"['vanity set for kids', 'vanity set for teenager', 'vanity set for girls', 'vanity set for little girls', 'vanity set for women', 'vanity set for bedroom', 'vanity set for bathroom', 'vanity set for teens', 'vanity set for adult women', 'vanity set for girls 8-10']"
Amazon_UK,princess costume,"['princess costume for girls', 'princess costume for women', 'princess costume for girls 3t', 'princess costume for kids', 'princess costume for girls 4t', 'princess costume for adults', 'princess costume for toddler girls', 'princess costume for women sexy', 'princess costume for teens 14-16', 'princess costume for dogs']"
Amazon_UK,baby dolls,"['baby dolls for 2 year old girls', 'baby dolls for 2+ year old girls', 'baby dolls for 1 year old girls', 'baby dolls for 1+ year old girls', 'baby dolls for 5 year old girls', 'baby dolls for 5+ year old girls', 'baby dolls for 3 year old girls', 'baby dolls for 3+ year old girls', 'baby dolls for girls', 'baby dolls for toddlers']"
Amazon_UK,beads,"['beads for bracelets making', 'beads for jewelry making', 'beads for bracelets', 'beads for hair', 'beads for crafts', 'beads for kids', 'beads for pens', 'beads for jewelry making adults', 'beads for doorways', 'beads for hair braids kids']"
Amazon_UK,dollhouse,"['dollhouse for boys', 'dollhouse for 2+ year old girls', 'dollhouse for 2 year old girls', 'dollhouse for 12 inch dolls', 'dollhouse for toddlers', 'dollhouse for 3 year old girls', 'dollhouse for 3+ year old girls', 'dollhouse for girls', 'dollhouse for 1 year old', 'dollhouse for adults']"
Amazon_UK,easy bake oven,"['easy bake oven for kids', 'easy bake oven for boys', 'easy bake oven for kids mixes', 'easy bake oven for kids real cooking', 'easy bake oven for kids 3 years old', 'easy bake oven for girls', 'easy bake oven for kids 6 and up', 'easy bake oven for children', 'easy bake oven for kids real cooking cheap', 'easy bake oven for kids cheap']"
Amazon_UK,baby doll stroller,"['baby doll stroller for 2 year old girls', 'baby doll stroller for 2+ year old girls', 'baby doll stroller for 1 year old girls', 'baby doll stroller for 10 year old girls tall', 'baby doll stroller for boys', 'baby doll stroller for 20 inch doll', 'baby doll stroller for toddler', 'baby doll stroller for older girls', 'baby doll stroller for twins', 'baby doll stroller for 7 year old']"
Amazon_UK,sewing machine,"['sewing machine for beginners', 'sewing machine for kids', 'sewing machine for kids ages 8-12', 'sewing machine for jeans', 'sewing machine for beginners adult', 'sewing machine for kids ages 8-12 learn to sew', 'sewing machine for wigs making', 'sewing machine for beginners kids', 'sewing machine for adults', 'sewing machine for leather']"
Amazon_UK,pink ice skates,"['pink ice skates for women', 'pink ice skates for girls', 'pink ice skates for toddlers']"
Amazon_UK,ken doll,"['ken doll formal', 'ken doll for boys', 'ken doll formal clothes', 'ken doll for cake', 'air force ken doll']"
Amazon_UK,toy kitchen,"['toy kitchen for toddlers 1-3', 'toy kitchen for kids ages 4-8', 'toy kitchen for kids ages 8-10', 'toy kitchen for girls', 'toy kitchen for toddlers', 'toy kitchen for dolls', 'toy kitchen for kids', 'toy kitchen for kids ages 1-3', 'toy kitchen for toddlers 1-3 disney', 'toy kitchen for baby']"
Amazon_UK,broom,"['broom for hardwood floors', 'broom for kids', 'broom for toddlers 1-3', 'broom for dog hair', 'broom for pet hair', 'broom for carpet', 'broom for hair', 'broom for outdoor sweeping', 'broom for garage', 'broom for home']"
Amazon_UK,beanie baby bear,['ty beanie babies - fortune the panda bear']
Amazon_UK,toy vacuum cleaner,"['toy vacuum cleaner for toddlers', 'toy vacuum cleaner for 4 year old', 'toy vacuum cleaner for toddlers 1-3', 'toy vacuum cleaner for toddlers that works', 'toy vacuum cleaner for kids', 'toy vacuum cleaner for 5 year old', 'toy vacuum cleaner for kids that really works', 'toy vacuum cleaner for 3 year old', 'toy vacuum cleaner for 4 year old boy']"
Amazon_UK,veterinarian kit,"['veterinarian kit for kids', 'veterinarian kit for kids age 12-14', 'veterinarian kit for kids 8-12', 'veterinarian kit for adults', 'veterinarian kit for kids realistic 9-12', 'veterinarian kit for teens', 'veterinarian kit for kids age 6', 'veterinarian kit for girls', 'veterinarian kit for 2 year old', 'veterinarian kit for']"
Amazon_UK,kitchen set,"['kitchen set for kids', 'kitchen set for toddlers 1-3', 'kitchen set for kids ages 3-5', 'kitchen set for kids 8-10', 'kitchen set for kids ages 4-8', 'kitchen set for girls', 'kitchen set for boys', 'kitchen set for toddlers', 'kitchen set for kids 1-3', 'kitchen set for men']"
Amazon_UK,stuffed animals,"['stuffed animals for girls', 'stuffed animals for babies', 'stuffed animals for boys', 'stuffed animals for easter', 'stuffed animals for teens', 'stuffed animals for dogs', 'stuffed animals for easter basket', 'stuffed animals for adults', 'stuffed animals for toddlers 1-3', 'stuffed animals for boys 8-12']"
Amazon_UK,plush toys,"['plush toys for dogs', 'plush toys for girls', 'plush toys for easter', 'plush toys for boys', 'plush toys for babies', 'plush toys for large dogs', 'plush toys for kids', 'plush toys for cats', 'plush toys for girls 1 year', 'plush toys for aggressive chewers']"
Amazon_UK,unicorn,"['unicorn for girls', 'unicorn for women', 'unicorn for girls 4-6', 'unicorn for adults', 'unicorn for a day golan vaknin', 'unicorn for boys', 'unicorn for a day', 'unicorn for 10 year old girl', 'unicorn for cake', 'unicorn for baby']"
Amazon_UK,sparkly toys,"['sparkly toys for girls', 'sparkly toys for girls age 4', 'sparkly toys for girls 6', 'sparkly toys for little girls', 'sparkly toys for kids', 'sparkly toys for 7 yr old girls', 'sparkly toys for cats', 'sparkly toys for 2 year old', 'sparkling toys for girls']"
Amazon_UK,disney doll,"['disney doll for toddler', 'disney doll for 1 year old girl', 'disney doll for 3 year old girls', 'disney doll for baby', 'disney doll for boy', 'disney doll for 2 yr old', 'ily forever disney doll', 'disney doll for 2 year old girl', 'ily forever disney doll fashion packs', 'ily forever disney doll clothes']"
Amazon_UK,baking kit,"['baking kit for kids', 'baking kit for teens', 'baking kit for kids ages 8-12', 'baking kit for girls', 'baking kit for adults', 'baking kit for kids ages 10-12', 'baking kit for boys ages 8-12', 'baking kit for teenage girls', 'baking kit for kids ages 12-14', 'baking kit for kids 4-8']"
Amazon_UK,painting kit,"['painting kit for kids', 'painting kit for kids ages 8-12', 'painting kit for adults', 'painting kit for 2', 'painting kit for toddlers', 'painting kit for toddlers 2-4 years', 'painting kit for kids 6-12', 'painting kit for toddlers age 3-5', 'painting kit for beginners', 'canvas painting kit for adults']"
Amazon_UK,dora doll,[]
Amazon_UK,power ranger valentine,[]
Amazon_UK,dorothy costume,"['dorothy costume for girls', 'dorothy costume for girls size 14-16', 'dorothy costume for girls size 10-12', 'dorothy costume for toddler', 'dorothy costume for girls 5t', 'dorothy costume for kids', 'dorothy costume for girls 3t', 'dorothy costume for toddler girl', 'dorothy costume for baby', 'dorothy costume for women']"
Amazon_UK,minnie mouse,"['minnie mouse for toddler girls', 'minnie mouse for women', 'minnie mouse for adults', 'minnie mouse for 3+ year old girls', 'minnie mouse for 3 year old girls', 'minnie mouse for 1 year old', 'minnie mouse for babies', 'minnie mouse for baby girl', 'minnie mouse for 1 year old girl', 'minnie mouse for girls']"
Amazon_UK,monster high doll,"['monster high doll for girls', 'monster high doll for 1', 'forbidden love monster high doll']"
Amazon_UK,monster high costume,"['monster high costumes for kids', 'monster high costume for girls', 'monster high costume for women', 'monster high costume for kids', 'monster high costumes for girls', 'monster high costume for boys', 'monster high costumes for women', 'monster high costumes for boys', 'monster high costumes for girls 8-10', 'monster high costumes for girls 10-12']"
